nft_id,trade_price,floor_price,Accessories,Background,Body,Eyes,Hat,Mouth,Accessories_Background_freq,Accessories_Body_freq,Accessories_Eyes_freq,Accessories_Hat_freq,Accessories_Mouth_freq,Background_Body_freq,Background_Eyes_freq,Background_Hat_freq,Background_Mouth_freq,Body_Eyes_freq,Body_Hat_freq,Body_Mouth_freq,Eyes_Hat_freq,Eyes_Mouth_freq,Hat_Mouth_freq,Mouth_freq,Accessories_freq,Background_freq,Body_freq,Eyes_freq,Hat_freq
241,7.79,7.79,Tie,Stormcloud Grey,Tan,Normal,Slickback,Vampire,0.0133,0.01,0.0187,0.002,0.0047,0.0167,0.0287,0.0067,0.0093,0.038,0.0073,0.012,0.018,0.018,0.0067,0.0593,0.0627,0.1187,0.1553,0.2567,0.0493
241,8.05,8.05,Tie,Stormcloud Grey,Tan,Normal,Slickback,Vampire,0.0133,0.01,0.0187,0.002,0.0047,0.0167,0.0287,0.0067,0.0093,0.038,0.0073,0.012,0.018,0.018,0.0067,0.0593,0.0627,0.1187,0.1553,0.2567,0.0493
241,9.08,9.08,Tie,Stormcloud Grey,Tan,Normal,Slickback,Vampire,0.0133,0.01,0.0187,0.002,0.0047,0.0167,0.0287,0.0067,0.0093,0.038,0.0073,0.012,0.018,0.018,0.0067,0.0593,0.0627,0.1187,0.1553,0.2567,0.0493
1175,7.79,7.79,Gold Chain,Lavender Dusk Purple,Tan,Red Shades,Pirate,Panting,0.0093,0.0113,0.006,0.0073,0.0053,0.018,0.0093,0.0107,0.008,0.0093,0.008,0.012,0.004,0.0033,0.0033,0.048,0.09,0.1187,0.1553,0.0687,0.06
759,8.0,7.79,Red Bandana,Stormcloud Grey,Black,Laser Eyes,Afro,Happy,0.01,0.0253,0.0027,0.0067,0.0267,0.0287,0.002,0.0087,0.022,0.0027,0.0193,0.0613,0.002,0.004,0.0113,0.226,0.092,0.1187,0.2333,0.0167,0.07
759,8.57,8.57,Red Bandana,Stormcloud Grey,Black,Laser Eyes,Afro,Happy,0.01,0.0253,0.0027,0.0067,0.0267,0.0287,0.002,0.0087,0.022,0.0027,0.0193,0.0613,0.002,0.004,0.0113,0.226,0.092,0.1187,0.2333,0.0167,0.07
123,7.79,7.79,Red Bandana,Forest Moss Green,Black,Normal,Cylinder,Toothy,0.0167,0.0253,0.02,0.0067,0.0133,0.032,0.034,0.01,0.0253,0.0613,0.008,0.0347,0.012,0.0513,0.0107,0.1853,0.092,0.1247,0.2333,0.2567,0.0493
123,7.75,7.75,Red Bandana,Forest Moss Green,Black,Normal,Cylinder,Toothy,0.0167,0.0253,0.02,0.0067,0.0133,0.032,0.034,0.01,0.0253,0.0613,0.008,0.0347,0.012,0.0513,0.0107,0.1853,0.092,0.1247,0.2333,0.2567,0.0493
123,8.09,8.09,Red Bandana,Forest Moss Green,Black,Normal,Cylinder,Toothy,0.0167,0.0253,0.02,0.0067,0.0133,0.032,0.034,0.01,0.0253,0.0613,0.008,0.0347,0.012,0.0513,0.0107,0.1853,0.092,0.1247,0.2333,0.2567,0.0493
123,8.73,8.73,Red Bandana,Forest Moss Green,Black,Normal,Cylinder,Toothy,0.0167,0.0253,0.02,0.0067,0.0133,0.032,0.034,0.01,0.0253,0.0613,0.008,0.0347,0.012,0.0513,0.0107,0.1853,0.092,0.1247,0.2333,0.2567,0.0493
123,4.57,4.57,Red Bandana,Forest Moss Green,Black,Normal,Cylinder,Toothy,0.0167,0.0253,0.02,0.0067,0.0133,0.032,0.034,0.01,0.0253,0.0613,0.008,0.0347,0.012,0.0513,0.0107,0.1853,0.092,0.1247,0.2333,0.2567,0.0493
191,7.79,7.79,Tie,Spiced Orange,Lilac,Normal,Pirate,Sad,0.004,0.0053,0.0187,0.0033,0.0087,0.0073,0.0253,0.006,0.0147,0.0133,0.0027,0.0073,0.0153,0.0293,0.0073,0.118,0.0627,0.118,0.0433,0.2567,0.06
753,8.29,7.98,Scarf,Forest Moss Green,Black - Overweight,Concerned,Slickback,Surprised,0.0233,0.0273,0.0053,0.0093,0.0133,0.026,0.0087,0.0053,0.0147,0.008,0.0067,0.0213,0.0027,0.002,0.0053,0.1187,0.1393,0.1247,0.1773,0.0293,0.0493
753,8.52,8.52,Scarf,Forest Moss Green,Black - Overweight,Concerned,Slickback,Surprised,0.0233,0.0273,0.0053,0.0093,0.0133,0.026,0.0087,0.0053,0.0147,0.008,0.0067,0.0213,0.0027,0.002,0.0053,0.1187,0.1393,0.1247,0.1773,0.0293,0.0493
